:BEGIN,,,
:ROADS,,,
Van Dyke,6,30,4
13 Mile,4,15,3
Van Dyke,5,30,4
13 Mile,3,15,3
:14 Mile Van Dyke,,,
14 Mile,4,15,3
Van Dyke,6,30,4
14 Mile,3,15,3
:8 Mile Hoover,,,
Hoover,1,20,2
8 Mile,5,30,4
8 Mile,4,30,2
:9 Mile Hoover,,,
Hoover,2,20,3
9 Mile,5,15,3
Hoover,1,20,3
9 Mile,4,15,3
:10 Mile Hoover,,,
Hoover,3,20,3
10 Mile,5,20,3
Hoover,2,20,3
10 Mile,4,20,3
:11 Mile Hoover,,,
Hoover,4,20,3
11 Mile,5,35,4
Hoover,3,20,3
11 Mile,4,35,4
:12 Mile Hoover,,,
Hoover,5,20,3
12 Mile,5,20,3
Hoover,4,20,3
12 Mile,4,20,3
:13 Mile Hoover,,,
Hoover,6,20,3
13 Mile,5,15,3
Hoover,5,20,3
13 Mile,4,15,3
:14 Mile Hoover,,,
14 Mile,5,15,3
Hoover,6,20,3
14 Mile,4,15,3
:8 Mile Groesbeck,,,
Groesbeck,1,35,4
8 Mile,6,30,4
8 Mile,5,30,4
:9 Mile Groesbeck,,,
Groesbeck,2,35,4
9 Mile,6,15,2
Groesbeck,1,35,4
9 Mile,5,15,2
:8 Mile Schoenherr,,,
Schoenherr,1,15,2
8 Mile,7,30,4
8 Mile,6,30,2
:9 Mile Schoenherr,,,
Schoenherr,2,15,3
9 Mile,7,15,3
Schoenherr,1,15,3
9 Mile,6,15,3
:Groesbeck Schoenherr,,,
Schoenherr,3,15,3
Groesbeck,3,35,4
Schoenherr,2,15,3
Groesbeck,2,35,4
:10 Mile Schoenherr,,,
Schoenherr,4,15,3
10 Mile,6,20,3
Schoenherr,3,15,3
10 Mile,5,20,3
:11 Mile Schoenherr,,,
Schoenherr,5,15,3
11 Mile,6,35,4
Schoenherr,4,15,3
11 Mile,5,35,4
:12 Mile Schoenherr,,,
Schoenherr,6,15,3
12 Mile,6,20,3
Schoenherr,5,15,3
12 Mile,5,20,3
:13 Mile Schoenherr,,,
Schoenherr,7,15,3
13 Mile,6,15,3
Schoenherr,6,15,3
13 Mile,5,15,3
:14 Mile Schoenherr,,,
14 Mile,6,15,3
Schoenherr,7,15,3
14 Mile,5,15,3
:10 Mile Groesbeck,,,
Groesbeck,4,35,4
10 Mile,7,20,3
Groesbeck,3,35,4
10 Mile,6,20,3
:11 Mile Groesbeck,,,
Groesbeck,5,35,4
11 Mile,7,35,4
Groesbeck,4,35,4
11 Mile,6,35,4
:8 Mile Hayes,,,
Hayes,1,15,2
8 Mile,7,30,4
:9 Mile Hayes,,,
Hayes,2,15,2
Hayes,1,15,2
9 Mile,7,15,2
:10 Mile Hayes,,,
Hayes,3,15,2
Hayes,2,15,2
10 Mile,7,20,3
:11 Mile Hayes,,,
Hayes,3,15,2
11 Mile,7,35,4
:Groesbeck Hayes,,,
Hayes,4,15,2
Groesbeck,5,35,4
:12 Mile Hayes,,,
Hayes,5,15,2
Hayes,4,15,2
12 Mile,6,20,3
:13 Mile Hayes,,,
Hayes,6,15,2
Hayes,5,15,2
13 Mile,6,15,3
:14 Mile Hayes,,,
Hayes,6,15,2
14 Mile,6,15,3
:END,,,
